query,hits,clicks,clickThroughs,ctr,carts,orders,hit_to_order_rate,click_to_order_rate,cart_to_order_rate
CL0032653 ,24,18,13,54.17,12,3,0.125,0.16666666666666666,0.25
fit and flare dresses ,25,66,17,68.0,13,3,0.12,0.045454545454545456,0.23076923076923078
Denim dresses,89,125,60,67.42,16,3,0.033707865168539325,0.024,0.1875
plus size tops,23,52,11,47.83,36,3,0.13043478260869565,0.057692307692307696,0.08333333333333333
Pleat waist poplin shirtdress-Deep navy,45,107,13,28.89,28,3,0.06666666666666667,0.028037383177570093,0.10714285714285714
	Citron floral print dress,14,18,11,78.57,5,3,0.21428571428571427,0.16666666666666666,0.6
blazers,77,145,36,46.75,32,3,0.03896103896103896,0.020689655172413793,0.09375
Red dress ,232,425,147,63.36,43,3,0.01293103448275862,0.007058823529411765,0.06976744186046512
clearance,18,42,11,61.11,16,3,0.16666666666666666,0.07142857142857142,0.1875
Cotton poplin A-line shirtdress-Black,34,139,16,47.06,14,3,0.08823529411764706,0.02158273381294964,0.21428571428571427
yellow ,255,466,146,57.25,42,3,0.011764705882352941,0.006437768240343348,0.07142857142857142
denim ,229,502,161,70.31,45,3,0.013100436681222707,0.00597609561752988,0.06666666666666667
Brooklyn ,91,284,73,80.22,20,2,0.02197802197802198,0.007042253521126761,0.1
Cotton poplin A-line shirtdress,15,50,14,93.33,4,2,0.13333333333333333,0.04,0.5
CL0030370 ,41,52,29,70.73,30,2,0.04878048780487805,0.038461538461538464,0.06666666666666667
black dresses,303,655,233,76.9,42,2,0.006600660066006601,0.0030534351145038168,0.047619047619047616
Chateau cotton poplin dress-Poppy red,23,27,7,30.43,13,2,0.08695652173913043,0.07407407407407407,0.15384615384615385
lavender,43,52,13,30.23,6,2,0.046511627906976744,0.038461538461538464,0.3333333333333333
Navy blue dresses ,51,107,34,66.67,15,2,0.0392156862745098,0.018691588785046728,0.13333333333333333
Spandex ,43,162,29,67.44,31,2,0.046511627906976744,0.012345679012345678,0.06451612903225806
Curve waist,15,22,10,66.67,6,2,0.13333333333333333,0.09090909090909091,0.3333333333333333
retro ,87,301,60,68.97,228,2,0.022988505747126436,0.006644518272425249,0.008771929824561403
Shrugs,47,63,22,46.81,9,2,0.0425531914893617,0.031746031746031744,0.2222222222222222
Owl ,85,116,49,57.65,27,2,0.023529411764705882,0.017241379310344827,0.07407407407407407
empire  waist dresses,81,311,64,79.01,40,2,0.024691358024691357,0.006430868167202572,0.05
Corset ,46,98,35,76.09,8,2,0.043478260869565216,0.02040816326530612,0.25
trapeze,55,113,44,80.0,29,2,0.03636363636363636,0.017699115044247787,0.06896551724137931
Peplum ,51,73,20,39.22,12,2,0.0392156862745098,0.0273972602739726,0.16666666666666666
lace ,268,519,167,62.31,67,2,0.007462686567164179,0.0038535645472061657,0.029850746268656716
Dahlia ,49,86,38,77.55,9,2,0.04081632653061224,0.023255813953488372,0.2222222222222222
Knit ,234,632,167,71.37,91,2,0.008547008547008548,0.0031645569620253164,0.02197802197802198
Sheath ,203,449,121,59.61,32,2,0.009852216748768473,0.004454342984409799,0.0625
Tulle,207,334,132,63.77,31,2,0.00966183574879227,0.005988023952095809,0.06451612903225806
floral ,166,335,105,63.25,60,2,0.012048192771084338,0.005970149253731343,0.03333333333333333
blues,220,432,135,61.36,59,2,0.00909090909090909,0.004629629629629629,0.03389830508474576
Cotton knit fit and flare dress,64,112,40,62.5,15,2,0.03125,0.017857142857142856,0.13333333333333333
Amelia dress ,35,189,23,65.71,1,2,0.05714285714285714,0.010582010582010581,2.0
Wrap dresses,114,260,84,73.68,24,2,0.017543859649122806,0.007692307692307693,0.08333333333333333
Black ,153,434,110,71.9,43,2,0.013071895424836602,0.004608294930875576,0.046511627906976744
Colorblock stripe poplin dress-Black/white,17,39,9,52.94,6,2,0.11764705882352941,0.05128205128205128,0.3333333333333333
Jersey ,131,573,93,70.99,55,2,0.015267175572519083,0.0034904013961605585,0.03636363636363636
virginia dresses,50,110,36,72.0,15,2,0.04,0.01818181818181818,0.13333333333333333
Black and white dress,24,35,15,62.5,2,1,0.041666666666666664,0.02857142857142857,0.5
trellis,52,62,29,55.77,13,1,0.019230769230769232,0.016129032258064516,0.07692307692307693
Stripes and Blocks dresses,15,27,13,86.67,3,1,0.06666666666666667,0.037037037037037035,0.3333333333333333
floral vines,15,35,11,73.33,1,1,0.06666666666666667,0.02857142857142857,1.0
Floral stripe print stretch sateen dress-Off-white/light indigo,15,33,8,53.33,12,1,0.06666666666666667,0.030303030303030304,0.08333333333333333
Chevron embellished fit-and-flare dress-Off-white/black,15,6,3,20.0,4,1,0.06666666666666667,0.16666666666666666,0.25
Trapeze dress,50,123,36,72.0,8,1,0.02,0.008130081300813009,0.125
Caftan ,46,86,35,76.09,18,1,0.021739130434782608,0.011627906976744186,0.05555555555555555
Brown ,53,124,27,50.94,28,1,0.018867924528301886,0.008064516129032258,0.03571428571428571
Swimsuit ,24,33,7,29.17,4,1,0.041666666666666664,0.030303030303030304,0.25
Chevron stripe colorblock maxi dress	,51,78,31,60.78,21,1,0.0196078431372549,0.01282051282051282,0.047619047619047616
shoes,51,31,12,23.53,3,1,0.0196078431372549,0.03225806451612903,0.3333333333333333
bicycle,55,58,24,43.64,0,1,0.01818181818181818,0.017241379310344827,inf
dots,45,68,26,57.78,19,1,0.022222222222222223,0.014705882352941176,0.05263157894736842
Navy blue,45,71,30,66.67,2,1,0.022222222222222223,0.014084507042253521,0.5
Cotton spandex ,31,70,25,80.65,6,1,0.03225806451612903,0.014285714285714285,0.16666666666666666
Obi ,32,67,13,40.63,22,1,0.03125,0.014925373134328358,0.045454545454545456
Ellen ,32,52,17,53.13,7,1,0.03125,0.019230769230769232,0.14285714285714285
Trapunto ,28,42,20,71.43,2,1,0.03571428571428571,0.023809523809523808,0.5
cotton dresses,33,144,28,84.85,23,1,0.030303030303030304,0.006944444444444444,0.043478260869565216
Havanna ,17,37,13,76.47,8,1,0.058823529411764705,0.02702702702702703,0.125
Tile print ,19,59,14,73.68,8,1,0.05263157894736842,0.01694915254237288,0.125
bird print dresses,17,36,13,76.47,6,1,0.058823529411764705,0.027777777777777776,0.16666666666666666
Brooklyn dress-Brown,35,32,9,25.71,14,1,0.02857142857142857,0.03125,0.07142857142857142
Scallop applique banded retro frock-Black/white,16,14,6,37.5,2,1,0.0625,0.07142857142857142,0.5
Cowl neck birdsong dress-Navy blue,16,14,4,25.0,0,1,0.0625,0.07142857142857142,inf
cowle,26,19,11,42.31,4,1,0.038461538461538464,0.05263157894736842,0.25
Peasant ,16,78,13,81.25,30,1,0.0625,0.01282051282051282,0.03333333333333333
swim ,37,24,7,18.92,2,1,0.02702702702702703,0.041666666666666664,0.5
CL0034516 ,26,45,19,73.08,9,1,0.038461538461538464,0.022222222222222223,0.1111111111111111
Olivia ,38,68,27,71.05,6,1,0.02631578947368421,0.014705882352941176,0.16666666666666666
Feminine pleated knit dress,38,84,29,76.32,7,1,0.02631578947368421,0.011904761904761904,0.14285714285714285
 Pleat waist poplin shirtdress,39,54,25,64.1,2,1,0.02564102564102564,0.018518518518518517,0.5
Belts,39,90,25,64.1,14,1,0.02564102564102564,0.011111111111111112,0.07142857142857142
feminine,39,117,23,58.97,5,1,0.02564102564102564,0.008547008547008548,0.2
 stretch,40,174,37,92.5,23,1,0.025,0.005747126436781609,0.043478260869565216
Bird dress ,54,84,36,66.67,21,1,0.018518518518518517,0.011904761904761904,0.047619047619047616
Drape neck cotton knit dress-Royal blue,16,41,8,50.0,6,1,0.0625,0.024390243902439025,0.16666666666666666
Blouson ,42,128,32,76.19,51,1,0.023809523809523808,0.0078125,0.0196078431372549
Bird print cotton poplin dress-Navy blue multi,42,42,10,23.81,7,1,0.023809523809523808,0.023809523809523808,0.14285714285714285
gray,43,44,25,58.14,4,1,0.023255813953488372,0.022727272727272728,0.25
Casual Chambray dresses,19,31,12,63.16,7,1,0.05263157894736842,0.03225806451612903,0.14285714285714285
CL0030567 ,24,30,16,66.67,5,1,0.041666666666666664,0.03333333333333333,0.2
A  line ,45,122,34,75.56,12,1,0.022222222222222223,0.00819672131147541,0.08333333333333333
VICTORIA DRESS ,19,41,19,100.0,9,1,0.05263157894736842,0.024390243902439025,0.1111111111111111
shipping,18,14,7,38.89,0,1,0.05555555555555555,0.07142857142857142,inf
Gingham ,138,285,83,60.14,37,1,0.007246376811594203,0.0035087719298245615,0.02702702702702703
Belted stripe poplin dress-White/juniper green/deep navy,14,2,2,14.29,2,1,0.07142857142857142,0.5,0.5
crepe ,114,348,82,71.93,65,1,0.008771929824561403,0.0028735632183908046,0.015384615384615385
Havana ,232,396,141,60.78,42,1,0.004310344827586207,0.0025252525252525255,0.023809523809523808
Pintuck pleat crinkle cotton trapeze dress-Sunset yellow,23,101,8,34.78,20,1,0.043478260869565216,0.009900990099009901,0.05
Shirtdress ,226,467,166,73.45,65,1,0.004424778761061947,0.0021413276231263384,0.015384615384615385
crinoline skirts,21,56,11,52.38,6,1,0.047619047619047616,0.017857142857142856,0.16666666666666666
Rompers,78,171,51,65.38,18,1,0.01282051282051282,0.005847953216374269,0.05555555555555555
gold ,79,117,46,58.23,19,1,0.012658227848101266,0.008547008547008548,0.05263157894736842
Shirt dress ,133,220,70,52.63,42,1,0.007518796992481203,0.004545454545454545,0.023809523809523808
white ,282,610,193,68.44,67,1,0.0035460992907801418,0.001639344262295082,0.014925373134328358
yellow dresses,129,106,59,45.74,13,1,0.007751937984496124,0.009433962264150943,0.07692307692307693
Poplin dresses,81,259,67,82.72,46,1,0.012345679012345678,0.003861003861003861,0.021739130434782608
Kayla ,129,234,99,76.74,52,1,0.007751937984496124,0.004273504273504274,0.019230769230769232
Reds,332,621,151,45.48,68,1,0.0030120481927710845,0.001610305958132045,0.014705882352941176
Shift ,92,311,65,70.65,21,1,0.010869565217391304,0.003215434083601286,0.047619047619047616
Fit and flare,93,310,70,75.27,149,1,0.010752688172043012,0.0032258064516129032,0.006711409395973154
elastic,23,64,20,86.96,13,1,0.043478260869565216,0.015625,0.07692307692307693
Referal,14,28,2,14.29,8,1,0.07142857142857142,0.03571428571428571,0.125
Green dresses,259,438,154,59.46,32,1,0.003861003861003861,0.00228310502283105,0.03125
Cardigans ,73,142,42,57.53,21,1,0.0136986301369863,0.007042253521126761,0.047619047619047616
 Chevron dress,23,31,18,78.26,3,1,0.043478260869565216,0.03225806451612903,0.3333333333333333
ikat ,55,193,44,80.0,10,1,0.01818181818181818,0.0051813471502590676,0.1
Lilian ,56,135,41,73.21,24,1,0.017857142857142856,0.007407407407407408,0.041666666666666664
light blue dresses,20,15,10,50.0,3,1,0.05,0.06666666666666667,0.3333333333333333
Blue dresses ,181,300,108,59.67,22,1,0.0055248618784530384,0.0033333333333333335,0.045454545454545456
tulle skirt,57,79,22,38.6,6,1,0.017543859649122806,0.012658227848101266,0.16666666666666666
Trees ,15,29,10,66.67,4,1,0.06666666666666667,0.034482758620689655,0.25
Empire waist stretch ottoman dress-Teal green,22,15,4,18.18,4,1,0.045454545454545456,0.06666666666666667,0.25
Havana dress-Eggplant,24,15,7,29.17,6,1,0.041666666666666664,0.06666666666666667,0.16666666666666666
Skater ,64,148,50,78.13,13,1,0.015625,0.006756756756756757,0.07692307692307693
floral embellished dresses,14,20,12,85.71,2,1,0.07142857142857142,0.05,0.5
seagull,66,171,46,69.7,25,1,0.015151515151515152,0.005847953216374269,0.04
empire waist,66,276,61,92.42,26,1,0.015151515151515152,0.0036231884057971015,0.038461538461538464
Chelsea ,164,306,111,67.68,27,1,0.006097560975609756,0.0032679738562091504,0.037037037037037035
white dresses,486,800,310,63.79,73,1,0.00205761316872428,0.00125,0.0136986301369863
Surplice ,24,85,18,75.0,6,1,0.041666666666666664,0.011764705882352941,0.16666666666666666
Jumpsuits,69,88,41,59.42,13,1,0.014492753623188406,0.011363636363636364,0.07692307692307693
Maxi dresses,327,633,237,72.48,30,1,0.0030581039755351682,0.001579778830963665,0.03333333333333333
shirts,21,12,9,42.86,8,0,0.0,0.0,0.0
Keyhole ,20,226,14,70.0,2,0,0.0,0.0,0.0
Jasmine,19,42,11,57.89,1,0,0.0,0.0,0.0
Trellis waist cotton knit dress-Royal blue,19,28,8,42.11,11,0,0.0,0.0,0.0
skater style cottone knit dress,21,60,14,66.67,6,0,0.0,0.0,0.0
Vest ,19,9,4,21.05,4,0,0.0,0.0,0.0
contrast trim ,19,30,13,68.42,8,0,0.0,0.0,0.0
Brooklyn dress-Black,19,26,6,31.58,2,0,0.0,0.0,0.0
Nautical,21,20,6,28.57,0,0,0.0,0.0,
satin,19,50,13,68.42,12,0,0.0,0.0,0.0
Aqua ,19,64,11,57.89,12,0,0.0,0.0,0.0
fit-and-Flare dresses,18,46,14,77.78,6,0,0.0,0.0,0.0
Scarfs,18,37,11,61.11,0,0,0.0,0.0,
Cotton knit curve waist dress,21,97,13,61.9,8,0,0.0,0.0,0.0
wedding dresses,18,22,12,66.67,0,0,0.0,0.0,
Bohemian ,18,140,17,94.44,168,0,0.0,0.0,0.0
black tops,18,34,16,88.89,8,0,0.0,0.0,0.0
Morgan dress-White,18,41,9,50.0,5,0,0.0,0.0,0.0
joggers,18,46,10,55.56,0,0,0.0,0.0,
suits,18,5,4,22.22,0,0,0.0,0.0,
Tutu ,21,15,8,38.1,3,0,0.0,0.0,0.0
Denim jumpsuit ,18,7,6,33.33,0,0,0.0,0.0,
embellished dress,19,48,12,63.16,2,0,0.0,0.0,0.0
Asymmetric ,19,22,12,63.16,2,0,0.0,0.0,0.0
formal,19,8,5,26.32,0,0,0.0,0.0,
work,19,23,13,68.42,3,0,0.0,0.0,0.0
pleated cotton knit dress,19,16,10,52.63,6,0,0.0,0.0,0.0
Camo ,21,40,14,66.67,2,0,0.0,0.0,0.0
Parrot ,19,65,17,89.47,4,0,0.0,0.0,0.0
Citron floral print dress-Citron multi,19,46,7,36.84,2,0,0.0,0.0,0.0
Butterfly embellished colorblock dress-Juniper/black,20,33,13,65.0,16,0,0.0,0.0,0.0
Little Black Dress,19,51,18,94.74,0,0,0.0,0.0,
Pink flamingo print jacquard dress-White/pink/black,20,13,6,30.0,0,0,0.0,0.0,
Shorts,20,15,10,50.0,0,0,0.0,0.0,
off the shoulder,20,48,13,65.0,0,0,0.0,0.0,
Star ,20,19,9,45.0,3,0,0.0,0.0,0.0
retro poplin,19,33,14,73.68,2,0,0.0,0.0,0.0
dress with pockets,20,31,12,60.0,0,0,0.0,0.0,
Cotton knit fit and flare dress-Deep navy,20,27,6,30.0,0,0,0.0,0.0,
silver ,20,10,8,40.0,2,0,0.0,0.0,0.0
 CL0033768,20,39,15,75.0,6,0,0.0,0.0,0.0
Pants,20,26,14,70.0,0,0,0.0,0.0,
Printed,20,39,12,60.0,6,0,0.0,0.0,0.0
anchor dress ,20,20,14,70.0,0,0,0.0,0.0,
polka dot Dresses,20,45,14,70.0,9,0,0.0,0.0,0.0
chiffon Dresses,20,28,13,65.0,4,0,0.0,0.0,0.0
Lillian ,20,19,9,45.0,2,0,0.0,0.0,0.0
Daisy dress,20,60,17,85.0,21,0,0.0,0.0,0.0
halter dresses,19,27,11,57.89,0,0,0.0,0.0,
Lilian dress-Prussian blue,19,20,7,36.84,2,0,0.0,0.0,0.0
black and white ue dresses,19,10,8,42.11,12,0,0.0,0.0,0.0
gingham check dresses,19,37,11,57.89,1,0,0.0,0.0,0.0
Jacquard ,19,110,13,68.42,9,0,0.0,0.0,0.0
Sets,20,20,8,40.0,4,0,0.0,0.0,0.0
Red heart embellished retro frock-Cream/red,20,72,8,40.0,14,0,0.0,0.0,0.0
 CL0036477,19,34,6,31.58,5,0,0.0,0.0,0.0
Birdcage,18,37,8,44.44,0,0,0.0,0.0,
curve,19,62,15,78.95,17,0,0.0,0.0,0.0
Peach ,20,50,12,60.0,0,0,0.0,0.0,
Bird print bolero style dress-Off-white/pink/black,19,25,6,31.58,3,0,0.0,0.0,0.0
Khaki ,19,13,6,31.58,4,0,0.0,0.0,0.0
Rayon ,20,49,11,55.0,18,0,0.0,0.0,0.0
poppy,20,51,16,80.0,6,0,0.0,0.0,0.0
cotton poplin,19,50,14,73.68,6,0,0.0,0.0,0.0
floral striped,20,24,16,80.0,2,0,0.0,0.0,0.0
Her fifties piped trim dress-White/black,19,15,4,21.05,0,0,0.0,0.0,
pink ,3971,330,93,2.34,18,0,0.0,0.0,0.0
Fifties ,16,11,6,37.5,0,0,0.0,0.0,
ashley,18,22,4,22.22,0,0,0.0,0.0,
Bike ,15,22,3,20.0,0,0,0.0,0.0,
Mens,14,16,5,35.71,4,0,0.0,0.0,0.0
maroon,14,12,7,50.0,0,0,0.0,0.0,
Kisses,14,5,2,14.29,8,0,0.0,0.0,0.0
royal blue dresses,14,16,9,64.29,2,0,0.0,0.0,0.0
Polka dot Print Dresses,15,15,7,46.67,2,0,0.0,0.0,0.0
Polka dot chiffon surplice dress-Deep navy/orange,15,4,2,13.33,0,0,0.0,0.0,
Floral embellished tulle dress ,15,27,11,73.33,3,0,0.0,0.0,0.0
gauze,15,34,8,53.33,6,0,0.0,0.0,0.0
leggings,15,12,6,40.0,4,0,0.0,0.0,0.0
cocktail dresses,15,39,7,46.67,0,0,0.0,0.0,
mint,18,24,10,55.56,2,0,0.0,0.0,0.0
tops,15,26,10,66.67,7,0,0.0,0.0,0.0
drop waist dresses,15,22,11,73.33,0,0,0.0,0.0,
floral print Dresses,15,13,7,46.67,2,0,0.0,0.0,0.0
Chambray denim jumpsuit-Deep indigo,15,25,7,46.67,2,0,0.0,0.0,0.0
Tie-neck cotton knit dress,15,51,13,86.67,6,0,0.0,0.0,0.0
mesh ,15,71,12,80.0,11,0,0.0,0.0,0.0
burgundy dress,15,14,7,46.67,0,0,0.0,0.0,
Collared,15,36,9,60.0,6,0,0.0,0.0,0.0
faux wrap ,15,18,10,66.67,0,0,0.0,0.0,
mint dresses,14,12,8,57.14,0,0,0.0,0.0,
Corset style cotton poplin dress-Prussian blue,14,3,2,14.29,0,0,0.0,0.0,
Grecian goddess knit dress-Royal blue,14,6,4,28.57,6,0,0.0,0.0,0.0
 Olivia dress,14,14,8,57.14,0,0,0.0,0.0,
crimson,14,19,5,35.71,8,0,0.0,0.0,0.0
1940s,14,8,4,28.57,4,0,0.0,0.0,0.0
Contrast ,14,27,7,50.0,4,0,0.0,0.0,0.0
Pleated knit,14,12,6,42.86,0,0,0.0,0.0,
Fall ,14,52,7,50.0,0,0,0.0,0.0,
Princess ,14,45,12,85.71,4,0,0.0,0.0,0.0
Seamed empire cotton knit dress,14,15,5,35.71,9,0,0.0,0.0,0.0
Checked dress,14,31,9,64.29,2,0,0.0,0.0,0.0
High waisted ,14,46,10,71.43,4,0,0.0,0.0,0.0
candy,14,20,5,35.71,0,0,0.0,0.0,
V neck ,14,16,10,71.43,2,0,0.0,0.0,0.0
tie. ,14,36,12,85.71,10,0,0.0,0.0,0.0
Her fifties,14,21,10,71.43,0,0,0.0,0.0,
Violet ,14,13,7,50.0,0,0,0.0,0.0,
olive,14,7,5,35.71,0,0,0.0,0.0,
print dresses,14,24,10,71.43,0,0,0.0,0.0,
Alexandra ,14,49,11,78.57,8,0,0.0,0.0,0.0
toga,14,17,10,71.43,2,0,0.0,0.0,0.0
Taffeta trim stretch crepe maxi dress-Black,14,33,6,42.86,6,0,0.0,0.0,0.0
pineapple,15,7,7,46.67,5,0,0.0,0.0,0.0
tie neck dresses,15,32,11,73.33,2,0,0.0,0.0,0.0
Grace dress-Deep blue,15,62,5,33.33,5,0,0.0,0.0,0.0
Embellished floral organza dress-Off-white/aqua,16,20,4,25.0,2,0,0.0,0.0,0.0
Light blue ,16,16,12,75.0,0,0,0.0,0.0,
cherry,17,7,5,29.41,0,0,0.0,0.0,
Tile print cotton trapeze dress-Navy/white/orange,17,23,7,41.18,6,0,0.0,0.0,0.0
Bow tie back woven ikat check dress-Red/navy/white,17,24,6,35.29,6,0,0.0,0.0,0.0
1920s,17,11,6,35.29,0,0,0.0,0.0,
embroidered dress,17,33,9,52.94,6,0,0.0,0.0,0.0
Vibrant umbrella print dress ,17,39,12,70.59,7,0,0.0,0.0,0.0
CL0027567 ,17,45,13,76.47,23,0,0.0,0.0,0.0
CL0036758 ,17,28,13,76.47,30,0,0.0,0.0,0.0
Chambray maxi,17,36,14,82.35,4,0,0.0,0.0,0.0
Spectacle,17,14,11,64.71,2,0,0.0,0.0,0.0
sizing chart,17,24,9,52.94,5,0,0.0,0.0,0.0
umbrellas,17,34,3,17.65,0,0,0.0,0.0,
lilac ,17,54,11,64.71,13,0,0.0,0.0,0.0
leaf,17,30,8,47.06,9,0,0.0,0.0,0.0
Illusion,17,15,11,64.71,2,0,0.0,0.0,0.0
Embellished floral yoke poplin dress-Black multi,17,24,7,41.18,5,0,0.0,0.0,0.0
Crepe dresses ,18,40,15,83.33,13,0,0.0,0.0,0.0
elephant,18,27,12,66.67,4,0,0.0,0.0,0.0
Lilian dress ,16,42,13,81.25,1,0,0.0,0.0,0.0
Graphic flying bird print cotton dress-Black/off-white,16,44,7,43.75,2,0,0.0,0.0,0.0
      Tie neck poplin dress  ,15,32,13,86.67,6,0,0.0,0.0,0.0
Elastic waist gingham maxi dress-Black/white,16,9,1,6.25,0,0,0.0,0.0,
Ruffle hem cotton check shirtdress-White/gray/pink,15,23,6,40.0,6,0,0.0,0.0,0.0
skorts,15,34,11,73.33,2,0,0.0,0.0,0.0
Citron ,16,25,14,87.5,2,0,0.0,0.0,0.0
Customize,16,14,6,37.5,0,0,0.0,0.0,
zip front,16,29,12,75.0,0,0,0.0,0.0,
Chevron stripe colorblock maxi dress-Deep navy/white/prussian blue,21,10,5,23.81,0,0,0.0,0.0,
Bridesmaids ,16,13,8,50.0,0,0,0.0,0.0,
Beige,16,10,3,18.75,0,0,0.0,0.0,
vintage style knit dress,16,23,13,81.25,6,0,0.0,0.0,0.0
annabell,16,27,6,37.5,0,0,0.0,0.0,
wool,16,8,5,31.25,0,0,0.0,0.0,
floral prints ,16,42,12,75.0,4,0,0.0,0.0,0.0
coral dresses,16,23,10,62.5,2,0,0.0,0.0,0.0
Bow tie ,16,27,11,68.75,13,0,0.0,0.0,0.0
"""prussian blue""",16,12,7,43.75,0,0,0.0,0.0,
"""contrast trim poplin dress""",16,48,16,100.0,16,0,0.0,0.0,0.0
Tropical,16,61,12,75.0,4,0,0.0,0.0,0.0
Sydney dress-Black/white,16,45,8,50.0,35,0,0.0,0.0,0.0
Two tone bird print cotton dress-White/navy,16,30,4,25.0,2,0,0.0,0.0,0.0
jeans,21,15,6,28.57,0,0,0.0,0.0,
CL0034517 ,26,21,10,38.46,2,0,0.0,0.0,0.0
Cotton Poplin Dresses,21,65,15,71.43,8,0,0.0,0.0,0.0
skater dresses,43,100,29,67.44,15,0,0.0,0.0,0.0
elastic waist,41,134,31,75.61,18,0,0.0,0.0,0.0
embroidered,41,63,26,63.41,15,0,0.0,0.0,0.0
Linen ,41,87,20,48.78,2,0,0.0,0.0,0.0
Gowns ,42,92,27,64.29,6,0,0.0,0.0,0.0
bunnies,42,26,9,21.43,6,0,0.0,0.0,0.0
plum ,42,43,18,42.86,2,0,0.0,0.0,0.0
Bib ,42,54,27,64.29,0,0,0.0,0.0,
Coral ,42,51,25,59.52,4,0,0.0,0.0,0.0
black and white,43,80,31,72.09,6,0,0.0,0.0,0.0
butterfly,44,79,33,75.0,6,0,0.0,0.0,0.0
Rabbit ,51,76,26,50.98,20,0,0.0,0.0,0.0
Seagull print pleated cotton knit dress-Light blue/white/black,44,197,15,34.09,16,0,0.0,0.0,0.0
Havana dress-Black,45,29,7,15.56,3,0,0.0,0.0,0.0
Wedding,45,88,31,68.89,2,0,0.0,0.0,0.0
Chevron stripe colorblock maxi dress-White/black,46,76,12,26.09,12,0,0.0,0.0,0.0
Floral stripe print belted dress-Red/cream,47,94,17,36.17,9,0,0.0,0.0,0.0
crop tops,48,53,19,39.58,6,0,0.0,0.0,0.0
Plus Size Dresses,48,116,32,66.67,46,0,0.0,0.0,0.0
Embellished,50,109,34,68.0,3,0,0.0,0.0,0.0
sheath dresses,50,119,29,58.0,14,0,0.0,0.0,0.0
Eyelet ,41,117,35,85.37,15,0,0.0,0.0,0.0
Cotton knit ,40,100,20,50.0,25,0,0.0,0.0,0.0
sweaters,39,106,23,58.97,10,0,0.0,0.0,0.0
high to low,39,61,23,58.97,10,0,0.0,0.0,0.0
Cutout ,35,68,26,74.29,2,0,0.0,0.0,0.0
Elastic waist chambray maxi dress-Indigo,35,18,9,25.71,5,0,0.0,0.0,0.0
jersey knit dress,35,134,26,74.29,24,0,0.0,0.0,0.0
Gold dresses,35,45,22,62.86,14,0,0.0,0.0,0.0
Lilian dress-Black,35,58,15,42.86,15,0,0.0,0.0,0.0
gray dresses,35,78,25,71.43,2,0,0.0,0.0,0.0
Brown dress ,35,46,22,62.86,0,0,0.0,0.0,
horse,35,72,27,77.14,6,0,0.0,0.0,0.0
Organza ,36,100,26,72.22,0,0,0.0,0.0,
sundresses ,36,134,27,75.0,14,0,0.0,0.0,0.0
Vintage dresses,36,69,26,72.22,12,0,0.0,0.0,0.0
Voile,36,66,27,75.0,10,0,0.0,0.0,0.0
a-line,36,129,30,83.33,6,0,0.0,0.0,0.0
