pId,pName,clicks,carts,orders,conversion_rate
CL0036187,Floral embellished cotton knit dress,205,6,3,0.014634146341463415
CL0035374,Cotton sateen twill cargo pants,206,8,3,0.014563106796116505
CL0032940_OS,Name N/A,69,0,1,0.014492753623188406
CL0034708_OS,Name N/A,69,0,1,0.014492753623188406
CL0037074,Tie front heather knit shrug,909,20,13,0.014301430143014302
CL0034765,Angled hem drape front tee,280,8,4,0.014285714285714285
CL0036009_OS,Name N/A,70,0,1,0.014285714285714285
CL0037252,Name N/A,140,0,2,0.014285714285714285
CL0035206,Floral embellished stretch crepe tunic,421,4,6,0.014251781472684086
CL0035244,Notch collar wrap front top,281,8,4,0.014234875444839857
CL0034412,Notch neck dandelion print cambric blouse,430,22,6,0.013953488372093023
CL0034795,Notch collar wrap front top,72,4,1,0.013888888888888888
CL0029202,Drape neck cotton knit dress,868,32,12,0.013824884792626729
CL0036422,Side button stripe knit tunic,724,33,10,0.013812154696132596
CL0035662_OS,Name N/A,145,0,2,0.013793103448275862
CL0036790,Floral splash print crop tank,438,17,6,0.0136986301369863
CL0036074,Paisley geo print chiffon empire dress,73,2,1,0.0136986301369863
CL0033018_OS,Name N/A,73,0,1,0.0136986301369863
CL0036693,Graphic flying bird print cotton dress,2932,72,40,0.013642564802182811
CL0031894,Cotton knit embellished tunic dress,959,33,13,0.013555787278415016
CL0035160_OS,Name N/A,74,0,1,0.013513513513513514
CL0035722,Sash tie waist cotton check shorts,148,10,2,0.013513513513513514
CL0035958,Two tone check print crepe top,445,5,6,0.01348314606741573
CL0036482,Floral print crepe full skirt,371,10,5,0.013477088948787063
CL0035103,Victoria dress,1349,58,18,0.013343217197924388
CL0037009,Graphic print elastic drawstring skirt,75,2,1,0.013333333333333334
CL0034321_OS,Name N/A,75,0,1,0.013333333333333334
CL0029850_OS,Name N/A,76,0,1,0.013157894736842105
CL0036714,Bow tie graphic stripe blouse,457,11,6,0.01312910284463895
CL0035736,Stripe jersey knit shift dress,305,14,4,0.013114754098360656
CL0029241,Peter Pan collar knit top,382,12,5,0.013089005235602094
CL0035497,Small check jersey knit side zip pants,306,6,4,0.013071895424836602
CL0036440,Floral embellished knit peasant top,690,25,9,0.013043478260869565
CL0036161,Flutter sleeve cotton knit wrap dress,2537,42,33,0.0130074891604257
CL0030274,Trapunto banded waist crepe skirt,77,4,1,0.012987012987012988
CL0035114,Layered asymmetric hem georgette top,154,9,2,0.012987012987012988
CL0030569,Draped front cotton knit dress,1005,58,13,0.012935323383084577
CL0029200,Trellis waist cotton knit dress,1240,152,16,0.012903225806451613
CL0035502,Stretch jersey twill wide leg pants,853,15,11,0.012895662368112544
CL0036421,Paisley print sash tied sheath dress,781,10,10,0.012804097311139564
CL0035826,Contrast trim cotton poplin tunic,706,34,9,0.012747875354107648
CL0036375,Balloon print cotton knit dress,1100,24,14,0.012727272727272728
CL0027619,Floral drawstring front dress,1493,62,19,0.012726054922973878
CL0035810_OS,Name N/A,158,0,2,0.012658227848101266
CL0036218_OS,Name N/A,79,0,1,0.012658227848101266
CL0036507,Tile print crepe maxi dress,557,12,7,0.012567324955116697
CL0035507,Stretch twill wide leg pants,717,9,9,0.012552301255230125
CL0034776,Floral embroidered tulle poplin dress,479,8,6,0.012526096033402923
CL0035656_OS,Name N/A,80,0,1,0.0125
CL0029854,Notched V-neck tee,721,32,9,0.012482662968099861
CL0034393,Ruched pleat cotton knit dress,1445,45,18,0.01245674740484429
CL0036544,Light jersey knit cap sleeve shirt,482,15,6,0.012448132780082987
CL0030582,Tie-front jersey knit top,161,11,2,0.012422360248447204
CL0037038,Crisscross hem cotton knit top,805,19,10,0.012422360248447204
CL0036479,Palm print crepe tank top,161,0,2,0.012422360248447204
CL0032700_OS,Name N/A,81,0,1,0.012345679012345678
CL0035204_OS,Name N/A,81,0,1,0.012345679012345678
CL0034596,Cotton knit seamed panel dress,649,9,8,0.012326656394453005
CL0030235,Cotton knit curved waist dress,1882,91,23,0.012221041445270989
CL0036469,Floral embellished layer knit trapeze tee,82,4,1,0.012195121951219513
CL0033814_OS,Name N/A,82,0,1,0.012195121951219513
CL0028929,Belted chambray skirt,1149,53,14,0.012184508268059183
CL0036064,Graphic stripe crepe elastic waist pants,823,25,10,0.012150668286755772
CL0034455,Notch V-neck cotton tee,247,16,3,0.012145748987854251
CL0034744,Color tipped cotton knit sheath dress,825,32,10,0.012121212121212121
CL0035096,Notch neck contrast trim crepe blouse,248,3,3,0.012096774193548387
CL0028779,Wrap peplum jersey knit blouse,910,37,11,0.012087912087912088
CL0033124,Chambray denim A-line shirtdress,2333,142,28,0.012001714530647235
CL0036617,Seamed fit-and flare sateen dress,2169,72,26,0.0119870908252651
CL0035071,Amelia dress,1506,68,18,0.01195219123505976
CL0035494,Stretch jacquard check crop pants,335,2,4,0.011940298507462687
CL0027920,Belted poplin skirt,1090,62,13,0.011926605504587157
CL0036299,Rose embellished voile blouse,671,24,8,0.011922503725782414
CL0037049,Pinstripe cotton knit dress,3030,62,36,0.011881188118811881
CL0035060,Havana dress,169,6,2,0.011834319526627219
CL0035678,Sash tie flowy crepe shorts,423,10,5,0.01182033096926714
CL0032201,Sequined neck crepe shift dress,85,2,1,0.011764705882352941
CL0032666,Embellished floral yoke poplin dress,2904,88,34,0.011707988980716254
CL0036700,Dot print cap sleeve shirt,2051,59,24,0.011701608971233545
CL0035588_OS,Name N/A,86,0,1,0.011627906976744186
CL0030567_OS,Name N/A,172,0,2,0.011627906976744186
CL0034894_OS,Name N/A,86,0,1,0.011627906976744186
CL0036732,Tiered summer print maxi skirt,434,11,5,0.01152073732718894
CL0036291,Leaf print elastic waist tunic,1131,27,13,0.011494252873563218
CL0036624,Scallop applique banded retro frock,1131,29,13,0.011494252873563218
CL0035527,Sash tie belt pleated crepe twill skirt,610,22,7,0.011475409836065573
CL0035605,Cowl neck birdsong dress,2179,56,25,0.011473152822395595
CL0029089,Draped seam knit dress,787,19,9,0.011435832274459974
CL0037157,Ponte knit shrug,875,27,10,0.011428571428571429
CL0031267,Embellished stripe waist poplin dress,175,16,2,0.011428571428571429
CL0035622_OS,Name N/A,175,0,2,0.011428571428571429
CL0036466,Stretch twill lace trim shorts,877,33,10,0.011402508551881414
CL0036748,Graphic print notch neck dress,1406,25,16,0.011379800853485065
CL0033912,Taffeta trim stretch crepe maxi dress,970,24,11,0.01134020618556701
CL0037055,Swiss dot cotton asymmetric hem blouse,531,16,6,0.011299435028248588
CL0033017_OS,Name N/A,177,0,2,0.011299435028248588
CL0035962,Woven check halter dress,1330,47,15,0.011278195488721804
CL0034754,Butterfly embellished colorblock dress,534,34,6,0.011235955056179775
CL0034461_OS,Name N/A,89,0,1,0.011235955056179775
CL0037103,Floral print off-shoulder crepe blouse,267,4,3,0.011235955056179775
CL0035516,Floral vine print cotton dress,3390,85,38,0.011209439528023599
CL0036006,Drawstring mosaic print crepe pants,357,8,4,0.011204481792717087
CL0033932,High waisted ponte knit skirt,447,6,5,0.011185682326621925
CL0036839,Polka dot print split neck top,447,16,5,0.011185682326621925
CL0036301,Cotton poplin scallop trim shirt,629,50,7,0.011128775834658187
CL0027563,Floral folk embellished shift dress,1259,47,14,0.011119936457505957
CL0035465_OS,Name N/A,90,0,1,0.011111111111111112
CL0036474_OS,Name N/A,90,0,1,0.011111111111111112
CL0035631,Flowy watercolor print satin top,360,8,4,0.011111111111111112
CL0036263,Sequin floral colorblock poplin dress,182,0,2,0.01098901098901099
CL0034544,Cotton poplin tunic shirt,729,34,8,0.010973936899862825
CL0032514,Scallop hem denim chambray skirt,1185,35,13,0.010970464135021098
CL0031919,Cotton knit curved waist dress,914,38,10,0.010940919037199124
CL0037016,Polka dot jacquard pleated skirt,1651,41,18,0.010902483343428226
CL0032954,Cross tie front cotton knit dress,734,12,8,0.010899182561307902
CL0035035,Stretch cotton sateen wrap skirt,367,13,4,0.010899182561307902
CL0030433,Contrast trim poplin tunic,461,719,5,0.010845986984815618
CL0035322,Mandarin collar chambray shift dress,1753,61,19,0.010838562464346835
CL0036251,Notch neck satin twill blouse,185,10,2,0.010810810810810811
CL0031289,Tie neck cotton poplin dress,370,47,4,0.010810810810810811
CL0036365,Layered asymmetric hem hacci knit top,4630,123,50,0.01079913606911447
CL0029088,Trellis waist knit dress,649,24,7,0.01078582434514638
CL0035533,Kayla dress,835,24,9,0.010778443113772455
CL0036085_OS,Name N/A,93,0,1,0.010752688172043012
CL0036842,Notch neck stretch crepe blouse,744,21,8,0.010752688172043012
CL0035811,Stripe poplin notch neck dress,465,20,5,0.010752688172043012
CL0031683,Piped trim cotton knit dress,931,43,10,0.010741138560687433
CL0036881,Floral print crepe retro shirtdress,1493,14,16,0.010716677829872739
CL0032390,Landscape art print A-line skirt,560,20,6,0.010714285714285714
CL0035606,Vintage bicycle embellished cotton knit dress,1216,45,13,0.01069078947368421
CL0033603,Floral vine applique crepe blouse,94,4,1,0.010638297872340425
CL0034840,Stretch crepe faux wrap dress,379,2,4,0.010554089709762533
CL0035279,V-neck jersey trapunto yoke top,379,16,4,0.010554089709762533
CL0036551,Banded V-neck crepe tunic,853,10,9,0.010550996483001172
CL0035597,Trapunto trim cotton poplin dress,855,24,9,0.010526315789473684
CL0036618,Ainsley dress,190,14,2,0.010526315789473684
CL0036889,Tile print cotton trapeze dress,1616,55,17,0.01051980198019802
CL0029299,Fit and flare cotton knit dress,951,48,10,0.010515247108307046
CL0035680,Graphic dot print cotton sateen dress,476,9,5,0.01050420168067227
CL0030026,Trellis waist cotton knit dress,764,32,8,0.010471204188481676
CL0036627,Scallop applique banded retro frock,1629,66,17,0.010435850214855739
CL0036541_OS,Name N/A,96,0,1,0.010416666666666666
CL0036253,High waist palazzo pants,96,2,1,0.010416666666666666
CL0036414,Sash tie jersey blouson dress,96,7,1,0.010416666666666666
CL0035268,Pleated cotton poplin midi skirt,1729,44,18,0.010410641989589358
CL0031441,Knot front jersey knit dress,1058,39,11,0.010396975425330813
CL0034407,Pleat front cotton knit skirt,193,14,2,0.010362694300518135
CL0036540,Graphic floral embellished poplin blouse,290,2,3,0.010344827586206896
CL0035999,Check print two-buckle belt dress,1645,69,17,0.01033434650455927
CL0037072,Sash tie jersey knit tee,97,0,1,0.010309278350515464
CL0035086,Seamed empire leaf print georgette dress,981,30,10,0.010193679918450561
CL0033569,Denim chambray full skirt,2066,107,21,0.01016456921587609
CL0036798,Citron floral print dress,2559,97,26,0.01016021883548261
CL0034234,Floral print chiffon peasant blouse,394,17,4,0.01015228426395939
CL0035342,Floral poplin halter dress,198,3,2,0.010101010101010102
CL0033984,Wool blend open front jacket,495,4,5,0.010101010101010102
CL0036749,Stripe georgette maxi shirtdress,892,15,9,0.010089686098654708
CL0033897,Floral embellished cotton knit sheath,496,33,5,0.010080645161290322
CL0026176,Vivid cotton poplin top,1393,23,14,0.010050251256281407
CL0036472,Split neck palm print crepe dress,398,8,4,0.010050251256281407
CL0032309,Fall floral embellished poplin dress,599,24,6,0.01001669449081803
CL0036915,Embellished A-line chambray skirt,800,18,8,0.01
CL0031126,Cotton knit button-tabbed jacket,1206,48,12,0.009950248756218905
CL0036337,Circle print diamond knit dress,2818,66,28,0.0099361249112846
CL0036939,Asymmetric ruffle jersey tank,302,20,3,0.009933774834437087
CL0030936,Floral embellished crepe shift dress,302,14,3,0.009933774834437087
CL0036429,Floral embellished poplin maxi dress,2117,84,21,0.009919697685403874
CL0037042,Chevron stripe high-low tee with split back,1009,18,10,0.009910802775024777
CL0036640,Polka dot voile print keyhole dress,2323,83,23,0.009900990099009901
CL0036162_OS,Name N/A,101,0,1,0.009900990099009901
CL0032653,Cotton poplin A-line shirtdress,8287,247,82,0.0098950162905756
CL0035152_OS,Name N/A,405,0,4,0.009876543209876543
CL0035506,Stretch twill wide leg pants,709,8,7,0.009873060648801129
CL0034907,Denim chambray sash tie shirt,1116,46,11,0.00985663082437276
CL0036452,Tie front crepe palazzo pants,1319,21,13,0.009855951478392721
CL0036281,Abstract print crepe cutout top,203,4,2,0.009852216748768473
CL0034693,Side pleat cotton knit sheath dress,509,16,5,0.009823182711198428
CL0034104,Contrast tone poplin A-line dress,815,22,8,0.0098159509202454
CL0034720_OS,Name N/A,102,0,1,0.00980392156862745
CL0031461,Ruched sleeve cotton poplin shirt,204,12,2,0.00980392156862745
CL0030544,Sash tie cotton knit shirt,613,18,6,0.009787928221859706
CL0035806,Piped trim poplin A-line dress,511,8,5,0.009784735812133072
CL0034047,Aurora dress,2352,31,23,0.00977891156462585
